neighborhood,community,year,median_value,city_median_value,yoy_growth,housing_stock,property_count,lat,lon,cumulative_growth_pct,city_cumulative_growth_pct,vs_city_avg
Armatage,Southwest,2020,416755,360506,0.05171809144784231,Mainly 1940s ramblers & post-war colonials,3600,44.9025,-93.3185,30.2,31.1,-0.9
Armatage,Southwest,2021,438309,373020,0.011620419846973975,Mainly 1940s ramblers & post-war colonials,3600,44.9025,-93.3185,37.0,35.6,1.4
Armatage,Southwest,2022,443403,368859,0.1066153899984702,Mainly 1940s ramblers & post-war colonials,3600,44.9025,-93.3185,38.6,34.1,4.5
Armatage,Southwest,2023,490676,406421,0.09515499761247975,Mainly 1940s ramblers & post-war colonials,3600,44.9025,-93.3185,53.3,47.8,5.5
Armatage,Southwest,2024,537366,440071,0.05580391238388681,Mainly 1940s ramblers & post-war colonials,3600,44.9025,-93.3185,67.9,60.0,7.9
Armatage,Southwest,2025,567354,461666,0.04165631715701782,Mainly 1940s ramblers & post-war colonials,3600,44.9025,-93.3185,77.3,67.9,9.4
Kenny,Southwest,2016,310000,275000,0.03760412881077355,1950s ramblers & Cape Cods,2800,44.9115,-93.3375,0.0,0.0,0.0
Kenny,Southwest,2017,321657,288597,0.044468325129969864,1950s ramblers & Cape Cods,2800,44.9115,-93.3375,3.8,4.9,-1.1
Kenny,Southwest,2018,335961,304877,0.07406262911197099,1950s ramblers & Cape Cods,2800,44.9115,-93.3375,8.4,10.9,-2.5
Kenny,Southwest,2019,360843,330508,0.07963994939209833,1950s ramblers & Cape Cods,2800,44.9115,-93.3375,16.4,20.2,-3.8
Kenny,Southwest,2020,389581,361248,0.041808180125238174,1950s ramblers & Cape Cods,2800,44.9115,-93.3375,25.7,31.4,-5.7
Kenny,Southwest,2021,405868,374999,0.0018069780275420696,1950s ramblers & Cape Cods,2800,44.9115,-93.3375,30.9,36.4,-5.5
Kenny,Southwest,2022,406602,372979,0.09982086980445025,1950s ramblers & Cape Cods,2800,44.9115,-93.3375,31.2,35.6,-4.4
Kenny,Southwest,2023,447189,412028,0.06690127447955128,1950s ramblers & Cape Cods,2800,44.9115,-93.3375,44.3,49.8,-5.5
Kenny,Southwest,2024,477106,446006,0.05043523534119086,1950s ramblers & Cape Cods,2800,44.9115,-93.3375,53.9,62.2,-8.3
Kenny,Southwest,2025,501169,467906,0.03045880388267751,1950s ramblers & Cape Cods,2800,44.9115,-93.3375,61.7,70.1,-8.4
Lynnhurst,Southwest,2016,415000,275000,0.04890164056081244,1930s–1950s Tudor & Colonial Revivals,3900,44.908,-93.3055,0.0,0.0,0.0
Lynnhurst,Southwest,2017,435294,289045,0.07738947022370758,1930s–1950s Tudor & Colonial Revivals,3900,44.908,-93.3055,4.9,5.1,-0.2
Lynnhurst,Southwest,2018,468981,305938,0.07595753198553407,1930s–1950s Tudor & Colonial Revivals,3900,44.908,-93.3055,13.0,11.3,1.7
Lynnhurst,Southwest,2019,504604,329952,0.09457701058851037,1930s–1950s Tudor & Colonial Revivals,3900,44.908,-93.3055,21.6,20.0,1.6
Lynnhurst,Southwest,2020,552328,359974,0.047351198981164806,1930s–1950s Tudor & Colonial Revivals,3900,44.908,-93.3055,33.1,30.9,2.2
Lynnhurst,Southwest,2021,578481,374927,-0.009514612253259799,1930s–1950s Tudor & Colonial Revivals,3900,44.908,-93.3055,39.4,36.3,3.1
Lynnhurst,Southwest,2022,572977,372267,0.09648973453061324,1930s–1950s Tudor & Colonial Revivals,3900,44.908,-93.3055,38.1,35.4,2.7
Lynnhurst,Southwest,2023,628264,409128,0.07803945923433922,1930s–1950s Tudor & Colonial Revivals,3900,44.908,-93.3055,51.4,48.8,2.6
Lynnhurst,Southwest,2024,677293,440062,0.051480601385322886,1930s–1950s Tudor & Colonial Revivals,3900,44.908,-93.3055,63.2,60.0,3.2
Lynnhurst,Southwest,2025,712161,462409,0.040025567283212306,1930s–1950s Tudor & Colonial Revivals,3900,44.908,-93.3055,71.6,68.1,3.5
Windom,Southwest,2016,295000,275000,0.03292314628974793,1950s–1960s ramblers & split-levels,3300,44.8975,-93.307,0.0,0.0,0.0
Windom,Southwest,2017,304712,288403,0.048286427417366155,1950s–1960s ramblers & split-levels,3300,44.8975,-93.307,3.3,4.9,-1.6
Windom,Southwest,2018,319426,305013,0.06919357144166996,1950s–1960s ramblers & split-levels,3300,44.8975,-93.307,8.3,10.9,-2.6
Windom,Southwest,2019,341528,329784,0.08943092950605265,1950s–1960s ramblers & split-levels,3300,44.8975,-93.307,15.8,19.9,-4.1
Windom,Southwest,2020,372071,359637,0.041287751953613824,1950s–1960s ramblers & split-levels,3300,44.8975,-93.307,26.1,30.8,-4.7
Windom,Southwest,2021,387433,373942,0.0004061439235047929,1950s–1960s ramblers & split-levels,3300,44.8975,-93.307,31.3,36.0,-4.7
Windom,Southwest,2022,387591,370173,0.10030115104970513,1950s–1960s ramblers & split-levels,3300,44.8975,-93.307,31.4,34.6,-3.2
Windom,Southwest,2023,426466,409926,0.0790381951760944,1950s–1960s ramblers & split-levels,3300,44.8975,-93.307,44.6,49.1,-4.5
Windom,Southwest,2024,460173,443091,0.049826441151473784,1950s–1960s ramblers & split-levels,3300,44.8975,-93.307,56.0,61.1,-5.1
Windom,Southwest,2025,483102,463692,0.035714114072575104,1950s–1960s ramblers & split-levels,3300,44.8975,-93.307,63.8,68.6,-4.8
Tangletown,Southwest,2016,445000,275000,0.06395515973521523,1920s–1940s Arts & Crafts & Colonial Revivals,2600,44.916,-93.301,0.0,0.0,0.0
Tangletown,Southwest,2017,473460,288000,0.0770139715546805,1920s–1940s Arts & Crafts & Colonial Revivals,2600,44.916,-93.301,6.4,4.7,1.7
Tangletown,Southwest,2018,509923,304069,0.08293428546900135,1920s–1940s Arts & Crafts & Colonial Revivals,2600,44.916,-93.301,14.6,10.6,4.0
Tangletown,Southwest,2019,552213,330392,0.09504731837434656,1920s–1940s Arts & Crafts & Colonial Revivals,2600,44.916,-93.301,24.1,20.1,4.0
Tangletown,Southwest,2020,604700,359566,0.05049825682543821,1920s–1940s Arts & Crafts & Colonial Revivals,2600,44.916,-93.301,35.9,30.8,5.1
Tangletown,Southwest,2021,635236,373406,-0.017753317155330663,1920s–1940s Arts & Crafts & Colonial Revivals,2600,44.916,-93.301,42.7,35.8,6.9
Tangletown,Southwest,2022,623958,369748,0.10468848143136948,1920s–1940s Arts & Crafts & Colonial Revivals,2600,44.916,-93.301,40.2,34.5,5.7
Tangletown,Southwest,2023,689280,407249,0.08540287882883098,1920s–1940s Arts & Crafts & Colonial Revivals,2600,44.916,-93.301,54.9,48.1,6.8
Tangletown,Southwest,2024,748146,441722,0.05608373353831881,1920s–1940s Arts & Crafts & Colonial Revivals,2600,44.916,-93.301,68.1,60.6,7.5
Tangletown,Southwest,2025,790105,463381,0.04406758608684835,1920s–1940s Arts & Crafts & Colonial Revivals,2600,44.916,-93.301,77.6,68.5,9.1
Kingfield,Southwest,2016,295000,275000,0.061137299673020645,1910s–1930s Craftsman bungalows,4200,44.9218,-93.297,0.0,0.0,0.0
Kingfield,Southwest,2017,313036,289828,0.06196258382719387,1910s–1930s Craftsman bungalows,4200,44.9218,-93.297,6.1,5.4,0.7
Kingfield,Southwest,2018,332432,307379,0.09129941397124211,1910s–1930s Craftsman bungalows,4200,44.9218,-93.297,12.7,11.8,0.9
Kingfield,Southwest,2019,362783,332690,0.0938152464456096,1910s–1930s Craftsman bungalows,4200,44.9218,-93.297,23.0,21.0,2.0
Kingfield,Southwest,2020,396817,361314,0.05260970782808449,1910s–1930s Craftsman bungalows,4200,44.9218,-93.297,34.5,31.4,3.1
Kingfield,Southwest,2021,417694,376089,-0.008747535748270618,1910s–1930s Craftsman bungalows,4200,44.9218,-93.297,41.6,36.8,4.8
Kingfield,Southwest,2022,414040,372719,0.11659987639210755,1910s–1930s Craftsman bungalows,4200,44.9218,-93.297,40.4,35.5,4.9
Kingfield,Southwest,2023,462317,410250,0.0914653623664934,1910s–1930s Craftsman bungalows,4200,44.9218,-93.297,56.7,49.2,7.5
Kingfield,Southwest,2024,504603,442191,0.06932887255572379,1910s–1930s Craftsman bungalows,4200,44.9218,-93.297,71.1,60.8,10.3
Kingfield,Southwest,2025,539587,464929,0.034043482513986756,1910s–1930s Craftsman bungalows,4200,44.9218,-93.297,82.9,69.1,13.8
Nokomis,Nokomis,2016,270000,275000,0.045126591648863394,1940s–1950s ramblers & bungalows,5100,44.896,-93.289,0.0,0.0,0.0
Nokomis,Nokomis,2017,282184,289399,0.06579297789503702,1940s–1950s ramblers & bungalows,5100,44.896,-93.289,4.5,5.2,-0.7
Nokomis,Nokomis,2018,300750,306051,0.07481688064622162,1940s–1950s ramblers & bungalows,5100,44.896,-93.289,11.4,11.3,0.1
Nokomis,Nokomis,2019,323251,330914,0.08411030079997245,1940s–1950s ramblers & bungalows,5100,44.896,-93.289,19.7,20.3,-0.6
Nokomis,Nokomis,2020,350440,362579,0.03877305941998565,1940s–1950s ramblers & bungalows,5100,44.896,-93.289,29.8,31.8,-2.0
Nokomis,Nokomis,2021,364027,376262,0.005552427851872384,1940s–1950s ramblers & bungalows,5100,44.896,-93.289,34.8,36.8,-2.0
Nokomis,Nokomis,2022,366049,371579,0.09961449145292949,1940s–1950s ramblers & bungalows,5100,44.896,-93.289,35.6,35.1,0.5
Nokomis,Nokomis,2023,402512,409117,0.08138345399665009,1940s–1950s ramblers & bungalows,5100,44.896,-93.289,49.1,48.8,0.3
Nokomis,Nokomis,2024,435270,442862,0.05006500945938954,1940s–1950s ramblers & bungalows,5100,44.896,-93.289,61.2,61.0,0.2
Nokomis,Nokomis,2025,457062,466936,0.028676715833810217,1940s–1950s ramblers & bungalows,5100,44.896,-93.289,69.3,69.8,-0.5
Northeast Minneapolis,Northeast,2016,235000,275000,0.07312833673882504,1900s–1930s worker cottages & Victorian foursquares,6800,44.995,-93.255,0.0,0.0,0.0
Northeast Minneapolis,Northeast,2017,252185,288043,0.08464553750969443,1900s–1930s worker cottages & Victorian foursquares,6800,44.995,-93.255,7.3,4.7,2.6
Northeast Minneapolis,Northeast,2018,273532,305742,0.10888268607337075,1900s–1930s worker cottages & Victorian foursquares,6800,44.995,-93.255,16.4,11.2,5.2
Northeast Minneapolis,Northeast,2019,303314,330857,0.13236618812286774,1900s–1930s worker cottages & Victorian foursquares,6800,44.995,-93.255,29.1,20.3,8.8
Northeast Minneapolis,Northeast,2020,343463,360561,0.055766031409657975,1900s–1930s worker cottages & Victorian foursquares,6800,44.995,-93.255,46.2,31.1,15.1
Northeast Minneapolis,Northeast,2021,362616,373345,0.017767425239664895,1900s–1930s worker cottages & Victorian foursquares,6800,44.995,-93.255,54.3,35.8,18.5
Northeast Minneapolis,Northeast,2022,369059,370571,0.14107046872065104,1900s–1930s worker cottages & Victorian foursquares,6800,44.995,-93.255,57.0,34.8,22.2
Northeast Minneapolis,Northeast,2023,421123,406243,0.10086590462925592,1900s–1930s worker cottages & Victorian foursquares,6800,44.995,-93.255,79.2,47.7,31.5
Northeast Minneapolis,Northeast,2024,463600,439212,0.06558071281899434,1900s–1930s worker cottages & Victorian foursquares,6800,44.995,-93.255,97.3,59.7,37.6
Northeast Minneapolis,Northeast,2025,494003,461375,0.04029104359223,1900s–1930s worker cottages & Victorian foursquares,6800,44.995,-93.255,110.2,67.8,42.4
Longfellow,Longfellow,2016,250000,275000,0.06178893680174141,1910s–1930s Craftsman bungalows,5500,44.9258,-93.234,0.0,0.0,0.0
Longfellow,Longfellow,2017,265447,289213,0.07541525621587639,1910s–1930s Craftsman bungalows,5500,44.9258,-93.234,6.2,5.2,1.0
Longfellow,Longfellow,2018,285466,307480,0.08311165316021454,1910s–1930s Craftsman bungalows,5500,44.9258,-93.234,14.2,11.8,2.4
Longfellow,Longfellow,2019,309192,331213,0.10257517633604331,1910s–1930s Craftsman bungalows,5500,44.9258,-93.234,23.7,20.4,3.3
Longfellow,Longfellow,2020,340907,361533,0.052575238431530245,1910s–1930s Craftsman bungalows,5500,44.9258,-93.234,36.4,31.5,4.9
Longfellow,Longfellow,2021,358830,380173,0.012854452553465835,1910s–1930s Craftsman bungalows,5500,44.9258,-93.234,43.5,38.2,5.3
Longfellow,Longfellow,2022,363443,377666,0.12477000881746601,1910s–1930s Craftsman bungalows,5500,44.9258,-93.234,45.4,37.3,8.1
Longfellow,Longfellow,2023,408790,416171,0.08842365377679827,1910s–1930s Craftsman bungalows,5500,44.9258,-93.234,63.5,51.3,12.2
Longfellow,Longfellow,2024,444936,450412,0.05613587392731214,1910s–1930s Craftsman bungalows,5500,44.9258,-93.234,78.0,63.8,14.2
Longfellow,Longfellow,2025,469913,472613,0.03757318226085448,1910s–1930s Craftsman bungalows,5500,44.9258,-93.234,88.0,71.9,16.1
Near North,North,2016,135000,275000,0.05157329283336755,1920s–1940s worker cottages & bungalows,4800,44.996,-93.301,0.0,0.0,0.0
Near North,North,2017,141962,287210,0.05343130095187257,1920s–1940s worker cottages & bungalows,4800,44.996,-93.301,5.2,4.4,0.8
Near North,North,2018,149548,303053,0.05764034067105283,1920s–1940s worker cottages & bungalows,4800,44.996,-93.301,10.8,10.2,0.6
Near North,North,2019,158168,328287,0.07032140009547733,1920s–1940s worker cottages & bungalows,4800,44.996,-93.301,17.2,19.4,-2.2
Near North,North,2020,169290,356771,0.02642348145370016,1920s–1940s worker cottages & bungalows,4800,44.996,-93.301,25.4,29.7,-4.3
Near North,North,2021,173763,371769,-0.023651833158585683,1920s–1940s worker cottages & bungalows,4800,44.996,-93.301,28.7,35.2,-6.5
Near North,North,2022,169654,368293,0.08022785919951907,1920s–1940s worker cottages & bungalows,4800,44.996,-93.301,25.7,33.9,-8.2
Near North,North,2023,183265,404402,0.07071972044662662,1920s–1940s worker cottages & bungalows,4800,44.996,-93.301,35.8,47.1,-11.3
Near North,North,2024,196225,437524,0.029874287066711965,1920s–1940s worker cottages & bungalows,4800,44.996,-93.301,45.4,59.1,-13.7
Near North,North,2025,202087,459645,0.02669106767615806,1920s–1940s worker cottages & bungalows,4800,44.996,-93.301,49.7,67.1,-17.4
Camden,North,2016,145000,275000,0.0360373963078365,1920s–1950s ramblers & bungalows,4200,44.998,-93.32,0.0,0.0,0.0
Camden,North,2017,150225,288655,0.052524936394902286,1920s–1950s ramblers & bungalows,4200,44.998,-93.32,3.6,5.0,-1.4
Camden,North,2018,158116,306724,0.05399851796472112,1920s–1950s ramblers & bungalows,4200,44.998,-93.32,9.0,11.5,-2.5
Camden,North,2019,166654,330955,0.06762527344419522,1920s–1950s ramblers & bungalows,4200,44.998,-93.32,14.9,20.3,-5.4
Camden,North,2020,177924,360092,0.038827271201405486,1920s–1950s ramblers & bungalows,4200,44.998,-93.32,22.7,30.9,-8.2
Camden,North,2021,184832,374933,-0.016304419771675224,1920s–1950s ramblers & bungalows,4200,44.998,-93.32,27.5,36.3,-8.8
Camden,North,2022,181819,372216,0.10061078098506317,1920s–1950s ramblers & bungalows,4200,44.998,-93.32,25.4,35.4,-10.0
Camden,North,2023,200112,410591,0.06240315017022994,1920s–1950s ramblers & bungalows,4200,44.998,-93.32,38.0,49.3,-11.3
Camden,North,2024,212599,442841,0.04633455574593311,1920s–1950s ramblers & bungalows,4200,44.998,-93.32,46.6,61.0,-14.4
Camden,North,2025,222450,464043,0.032219097140731144,1920s–1950s ramblers & bungalows,4200,44.998,-93.32,53.4,68.7,-15.3
CARAG,Calhoun-Isles,2016,395000,275000,0.05536534764210958,1920s–1940s apartment buildings & single-family homes,2900,44.949,-93.313,0.0,0.0,0.0
CARAG,Calhoun-Isles,2017,416869,288701,0.05379366329965464,1920s–1940s apartment buildings & single-family homes,2900,44.949,-93.313,5.5,5.0,0.5
CARAG,Calhoun-Isles,2018,439294,305136,0.0887371592430342,1920s–1940s apartment buildings & single-family homes,2900,44.949,-93.313,11.2,11.0,0.2
CARAG,Calhoun-Isles,2019,478276,328404,0.10816205651965818,1920s–1940s apartment buildings & single-family homes,2900,44.949,-93.313,21.1,19.4,1.7
CARAG,Calhoun-Isles,2020,530007,356552,0.047799777566515086,1920s–1940s apartment buildings & single-family homes,2900,44.949,-93.313,34.2,29.7,4.5
CARAG,Calhoun-Isles,2021,555342,370954,-0.0027936335546694226,1920s–1940s apartment buildings & single-family homes,2900,44.949,-93.313,40.6,34.9,5.7
CARAG,Calhoun-Isles,2022,553790,365646,0.11581581876077479,1920s–1940s apartment buildings & single-family homes,2900,44.949,-93.313,40.2,33.0,7.2
CARAG,Calhoun-Isles,2023,617928,402222,0.08509245674476024,1920s–1940s apartment buildings & single-family homes,2900,44.949,-93.313,56.4,46.3,10.1
CARAG,Calhoun-Isles,2024,670509,434957,0.060995298477867346,1920s–1940s apartment buildings & single-family homes,2900,44.949,-93.313,69.7,58.2,11.5
CARAG,Calhoun-Isles,2025,711407,455922,0.040349010424950094,1920s–1940s apartment buildings & single-family homes,2900,44.949,-93.313,80.1,65.8,14.3
East Calhoun (Bde Maka Ska),Calhoun-Isles,2016,520000,275000,0.060567586726256235,1920s–1940s luxury lakeside homes & condos,2100,44.9448,-93.3105,0.0,0.0,0.0
East Calhoun (Bde Maka Ska),Calhoun-Isles,2017,551495,289296,0.07793008408072677,1920s–1940s luxury lakeside homes & condos,2100,44.9448,-93.3105,6.1,5.2,0.9
East Calhoun (Bde Maka Ska),Calhoun-Isles,2018,594473,305580,0.09066516687328133,1920s–1940s luxury lakeside homes & condos,2100,44.9448,-93.3105,14.3,11.1,3.2
East Calhoun (Bde Maka Ska),Calhoun-Isles,2019,648371,328237,0.08924107452482208,1920s–1940s luxury lakeside homes & condos,2100,44.9448,-93.3105,24.7,19.4,5.3
East Calhoun (Bde Maka Ska),Calhoun-Isles,2020,706233,358357,0.051404959338675164,1920s–1940s luxury lakeside homes & condos,2100,44.9448,-93.3105,35.8,30.3,5.5
East Calhoun (Bde Maka Ska),Calhoun-Isles,2021,742536,372022,-0.011040611251786377,1920s–1940s luxury lakeside homes & condos,2100,44.9448,-93.3105,42.8,35.3,7.5
East Calhoun (Bde Maka Ska),Calhoun-Isles,2022,734338,367752,0.09705317621527895,1920s–1940s luxury lakeside homes & condos,2100,44.9448,-93.3105,41.2,33.7,7.5
East Calhoun (Bde Maka Ska),Calhoun-Isles,2023,805608,405464,0.08178507742982524,1920s–1940s luxury lakeside homes & condos,2100,44.9448,-93.3105,54.9,47.4,7.5
East Calhoun (Bde Maka Ska),Calhoun-Isles,2024,871495,437058,0.06449799937716626,1920s–1940s luxury lakeside homes & condos,2100,44.9448,-93.3105,67.6,58.9,8.7
East Calhoun (Bde Maka Ska),Calhoun-Isles,2025,927705,459314,0.0440643105941948,1920s–1940s luxury lakeside homes & condos,2100,44.9448,-93.3105,78.4,67.0,11.4
Powderhorn Park,Powderhorn,2016,225000,275000,0.05585502494538964,1910s–1930s Craftsman bungalows & foursquares,5600,44.932,-93.2665,0.0,0.0,0.0
Powderhorn Park,Powderhorn,2017,237567,288288,0.07373646802561631,1910s–1930s Craftsman bungalows & foursquares,5600,44.932,-93.2665,5.6,4.8,0.8
Powderhorn Park,Powderhorn,2018,255085,306113,0.08989549203017926,1910s–1930s Craftsman bungalows & foursquares,5600,44.932,-93.2665,13.4,11.3,2.1
Powderhorn Park,Powderhorn,2019,278016,330710,0.10638832447894213,1910s–1930s Craftsman bungalows & foursquares,5600,44.932,-93.2665,23.6,20.3,3.3
Powderhorn Park,Powderhorn,2020,307593,359887,0.04273548690585019,1910s–1930s Craftsman bungalows & foursquares,5600,44.932,-93.2665,36.7,30.9,5.8
Powderhorn Park,Powderhorn,2021,320739,374064,-0.011088406016136101,1910s–1930s Craftsman bungalows & foursquares,5600,44.932,-93.2665,42.6,36.0,6.6
Powderhorn Park,Powderhorn,2022,317182,371556,0.11412708174494016,1910s–1930s Craftsman bungalows & foursquares,5600,44.932,-93.2665,41.0,35.1,5.9
Powderhorn Park,Powderhorn,2023,353381,409619,0.08652739403577164,1910s–1930s Craftsman bungalows & foursquares,5600,44.932,-93.2665,57.1,49.0,8.1
Powderhorn Park,Powderhorn,2024,383958,442414,0.06340976485647482,1910s–1930s Craftsman bungalows & foursquares,5600,44.932,-93.2665,70.6,60.9,9.7
Powderhorn Park,Powderhorn,2025,408305,464123,0.04162083176244221,1910s–1930s Craftsman bungalows & foursquares,5600,44.932,-93.2665,81.5,68.8,12.7
Dinkytown,University,2016,280000,275000,0.0504849798249636,"Mixed: apartments, condos & older homes",1800,44.982,-93.242,0.0,0.0,0.0
Dinkytown,University,2017,294136,289241,0.055908896583832635,"Mixed: apartments, condos & older homes",1800,44.982,-93.242,5.0,5.2,-0.2
Dinkytown,University,2018,310581,308411,0.07496991309250149,"Mixed: apartments, condos & older homes",1800,44.982,-93.242,10.9,12.1,-1.2
Dinkytown,University,2019,333865,331961,0.09579055436750034,"Mixed: apartments, condos & older homes",1800,44.982,-93.242,19.2,20.7,-1.5
Dinkytown,University,2020,365846,362625,0.04312059908526078,"Mixed: apartments, condos & older homes",1800,44.982,-93.242,30.7,31.9,-1.2
Dinkytown,University,2021,381621,377814,-0.010061233864234574,"Mixed: apartments, condos & older homes",1800,44.982,-93.242,36.3,37.4,-1.1
Dinkytown,University,2022,377782,373019,0.10037902279096864,"Mixed: apartments, condos & older homes",1800,44.982,-93.242,34.9,35.6,-0.7
Dinkytown,University,2023,415703,409563,0.07487559866708876,"Mixed: apartments, condos & older homes",1800,44.982,-93.242,48.5,48.9,-0.4
Dinkytown,University,2024,446829,442147,0.045872514016037445,"Mixed: apartments, condos & older homes",1800,44.982,-93.242,59.6,60.8,-1.2
Dinkytown,University,2025,467326,463828,0.03206465727137812,"Mixed: apartments, condos & older homes",1800,44.982,-93.242,66.9,68.7,-1.8
Downtown West,Downtown,2016,310000,275000,0.04588889802216785,Modern condos & converted lofts,3400,44.9789,-93.275,0.0,0.0,0.0
Downtown West,Downtown,2017,324226,288951,0.061224832855543615,Modern condos & converted lofts,3400,44.9789,-93.275,4.6,5.1,-0.5
Downtown West,Downtown,2018,344076,305849,0.06764480847190839,Modern condos & converted lofts,3400,44.9789,-93.275,11.0,11.2,-0.2
Downtown West,Downtown,2019,367351,330529,0.07275957829251338,Modern condos & converted lofts,3400,44.9789,-93.275,18.5,20.2,-1.7
Downtown West,Downtown,2020,394080,358881,0.02640777889373782,Modern condos & converted lofts,3400,44.9789,-93.275,27.1,30.5,-3.4
Downtown West,Downtown,2021,404486,373007,-0.028445462172009977,Modern condos & converted lofts,3400,44.9789,-93.275,30.5,35.6,-5.1
Downtown West,Downtown,2022,392980,370928,0.0842882981160101,Modern condos & converted lofts,3400,44.9789,-93.275,26.8,34.9,-8.1
Downtown West,Downtown,2023,426104,407843,0.04990491896048656,Modern condos & converted lofts,3400,44.9789,-93.275,37.5,48.3,-10.8
Downtown West,Downtown,2024,447369,439243,0.029907434320038048,Modern condos & converted lofts,3400,44.9789,-93.275,44.3,59.7,-15.4
Downtown West,Downtown,2025,460748,460825,0.021613592801690448,Modern condos & converted lofts,3400,44.9789,-93.275,48.6,67.6,-19.0
